Geneid	Blood	1 hour	2 hours	4 hours	6 hours
PDE4C	0.666666667	38.66666667	107.3333333	133	251.6666667
PDE6A	0	9	23.33333333	24	20.66666667
PDGFA	1.333333333	41.33333333	119.6666667	132	163
PDGFC	5.333333333	330	1120.666667	1580	1683.666667
PDIA3P1	46	136	306.3333333	453.3333333	449.6666667
PDIA4	99.33333333	1053	2668.333333	3895.333333	6459
PDIA5	3.333333333	64.66666667	198.3333333	268.6666667	439
PDIA6	165	743.3333333	1991.666667	2756	4016.333333
PDIK1L	12.66666667	91.66666667	301	325.6666667	424.3333333
PDLIM1	26	178.3333333	449.3333333	661	715
PDP1	82.66666667	452.6666667	1373.666667	1826.666667	2281.333333
PDP2	13	79.66666667	161.3333333	230.3333333	376
PDRG1	45	200.6666667	485.3333333	520.6666667	845
PDZD11	28	171	431.3333333	666	750.6666667
PDZD7	0	3.666666667	11	12	44.66666667
PEA15	62.66666667	664	1863	3339.666667	3490.666667
PEBP1	60	271.3333333	645.3333333	771.3333333	1043.666667
PEG10	14	2839	10651.33333	18405.33333	16363.66667
PELP1	62.33333333	228.3333333	478.6666667	591	784.3333333
PEMT	7.666666667	54.33333333	102.3333333	129.3333333	225.6666667
PERM1	0	14	27	61.33333333	83.33333333
PERP	5.333333333	641.6666667	2019.333333	2841.333333	3338.333333
PES1	36.66666667	331	872	1285.666667	1765.333333
PEX10	6.333333333	88.33333333	216.3333333	278	382.3333333
PEX14	16.33333333	92.33333333	215.3333333	296.3333333	351.3333333
PEX7	4.333333333	28.66666667	64.33333333	76.33333333	93.66666667
PFAS	37.33333333	140.3333333	339.3333333	434	707.3333333
PFDN1	61.33333333	196.3333333	467.3333333	713.3333333	802.3333333
PFDN2	59.33333333	323.6666667	694.6666667	878.3333333	1178.666667
PFDN4	8.666666667	81.33333333	208.3333333	322	374.3333333
PFKM	25.66666667	134	394.6666667	402	646
PFKP	58.66666667	332.3333333	961.6666667	1306	1761
PFN2	28.33333333	183	564	790.6666667	1158.666667
PFN4	0	9	28	38.66666667	35.66666667
PGAM5	31.66666667	228.3333333	556.3333333	747	1148.333333
PGAP1	16.33333333	79.33333333	221	352.3333333	389
PGRMC1	47.33333333	315.3333333	827	1131	1358.666667
PHACTR3	1.333333333	437.3333333	1267.666667	2166.333333	1646.333333
PHB	29	240	723.6666667	1023	1376.666667
PHETA1	6	34.33333333	99	102	171
PHETA2	1.333333333	17.33333333	58.66666667	56	105.3333333
PHKA1	1.333333333	226.6666667	748.3333333	995	1085
PHKA1P1	0	15.33333333	48	75	75.33333333
PHLDA1	5.666666667	304.3333333	924.6666667	1641.333333	1374.333333
PHLDA2	0	153.6666667	308.3333333	573	534.6666667
PHLDA3	0.666666667	71.33333333	206.6666667	257.3333333	560.6666667
PHLDB1	0.666666667	73.33333333	217.3333333	238	253.3333333
PHLDB2	10.66666667	387.3333333	1289.666667	2553.666667	1943.666667
PHLDB3	6.666666667	58	128.3333333	125	141.6666667
PHLPP2	14.66666667	146	446	528	562.6666667
PHYH	2.666666667	69	231	295.3333333	385
PI4K2A	56.66666667	159.6666667	290	360	463
PICART1	0	8.666666667	35.66666667	34.66666667	66.66666667
PIGP	3.333333333	63	197.3333333	291.3333333	354.6666667
PIGR	0	4.666666667	21.33333333	12	16.33333333
PIGU	19.33333333	81	268.6666667	388	472.3333333
PIGW	5	71	217.6666667	284.3333333	433.3333333
PIK3CD-AS2	5.333333333	34.66666667	81	163.6666667	182.6666667
PIK3R3	10.66666667	146.3333333	595.6666667	699	1137.666667
PIMREG	1.333333333	74.33333333	88.66666667	94	95
PIP5KL1	0.666666667	30	97.66666667	110	180.6666667
PIR	0.666666667	16.66666667	30	42.66666667	84.66666667
PITPNM3	13.66666667	289.6666667	865	1150.666667	1209.666667
PITX1	0	14	42	52.33333333	74.66666667
PJA1	15.66666667	79.66666667	203	291	351.6666667
PKD1L2	0	9.666666667	19.66666667	19.33333333	47
PKD1P6	9.333333333	47	102.6666667	71	106
PKDCC	0	4.666666667	11.66666667	9.666666667	15
PKIB	0	59	137.6666667	215.3333333	333.3333333
PKM	959.6666667	3781.333333	8723	13431	16377
PKP2	12	327.3333333	1064	1633	1484.333333
PKP3	2	273	740.3333333	838.6666667	1367.666667
PLA2G12A	25.66666667	121	396	614	735.6666667
PLA2G15	16.66666667	102	246.6666667	302	416.3333333
PLAC1	0	27.33333333	89.33333333	104.6666667	183.6666667
PLAG1	23.33333333	93.66666667	210.6666667	337	346.6666667
PLAT	1.666666667	31.66666667	78.66666667	152.3333333	167.6666667
PLBD2	26.33333333	297.3333333	871	1611.666667	1655.666667
PLCD3	10.66666667	113	258	328	456
PLEK2	0	38.33333333	129.3333333	191.3333333	240
PLEKHA5	10.66666667	225.3333333	730.3333333	1198.666667	994.3333333
PLEKHA6	5.666666667	150.3333333	418.3333333	568	768.6666667
PLEKHA7	14	194.3333333	594	691.3333333	765.3333333
PLEKHD1	3.333333333	85	213	253.6666667	335.3333333
PLEKHG1	10.33333333	116	424	623	569
PLEKHG2	81.33333333	442.3333333	1007.333333	1219.666667	1061.333333
PLEKHG4	28	103	185	172.3333333	326.6666667
PLEKHG5	12.33333333	55.33333333	101.6666667	113	199
PLEKHH1	2	15	45.66666667	59	68
PLEKHH2	4.333333333	42	115.3333333	158.3333333	178.6666667
PLEKHH3	0	129.3333333	308	339.3333333	466
PLEKHN1	2.666666667	55	137	171.3333333	273.3333333
PLEKHS1	0	96.66666667	393.3333333	591	708
