Geneid	Blood	1 hour	2 hours	4 hours	6 hours	10 hours
ESF1	15.3333333333333	157.666666666667	520.333333333333	950.333333333333	811.333333333333	297.399524647361
ESRRG	0	6.33333333333333	18.3333333333333	48.3333333333333	27.3333333333333	11.1718970536721
ESYT2	671.333333333333	2754.33333333333	7629.33333333333	11383.6666666667	11275	11903.9052918705
EXD2	15.3333333333333	73.3333333333333	191.333333333333	249	353.333333333333	287.465372772109
EXD3	14.3333333333333	61.3333333333333	124.666666666667	160	212.333333333333	257.947924568956
EXOC4	170.666666666667	547	1481.66666666667	2193.66666666667	2403	2227.39289633604
EXOSC7	13.6666666666667	91.3333333333333	220.333333333333	275.666666666667	424.333333333333	289.230241040165
EXT1	124	921.666666666667	2612	4070	6330.33333333333	2624.85432314388
EXTL2	5.33333333333333	29	86.3333333333333	111	177.666666666667	85.1857458054508
FADS3	54	172	417.666666666667	496.333333333333	706.333333333333	1253.92301292054
FAF1	56.6666666666667	413.333333333333	1085	1403	1676.66666666667	1043.83617836363
FAHD2A	19	82	181.333333333333	273.333333333333	452.666666666667	299.652615466233
FAM110C	0	8	22	24	21.6666666666667	23.7638378846096
FAM136A	55.6666666666667	250	641.666666666667	766.333333333333	1116.66666666667	777.614164187984
FAM171B	0.666666666666667	9.33333333333333	32.3333333333333	71.6666666666667	69.6666666666667	14.1646928041884
FAM178B	0	6	20.3333333333333	25.3333333333333	31.3333333333333	15.5608532457756
FAM184A	4.66666666666667	31.6666666666667	115.333333333333	144.666666666667	154	136.271183502671
FAM218A	0	10.6666666666667	21.6666666666667	45.3333333333333	44	17.4240797453169
FAM24B	0	6.33333333333333	18	22.6666666666667	25.6666666666667	22.4330913657643
FAM98B	18	67.3333333333333	194.333333333333	310.666666666667	400	265.154114745184
FANCC	8	36.3333333333333	115.333333333333	184.666666666667	221	173.944556969171
FANK1	0	6.33333333333333	10.6666666666667	14	24.6666666666667	19.4592005730627
FARP1	37	170.333333333333	419.666666666667	590	697	636.800183435183
FASTKD1	20.6666666666667	70	183.333333333333	199	324.666666666667	144.564192658905
FASTKD2	33.3333333333333	185.666666666667	587.333333333333	734	954.333333333333	588.410743212982
FBXL19-AS1	6.66666666666667	30.3333333333333	72.3333333333333	62	85.3333333333333	136.607282957047
FBXO21	34.3333333333333	221.666666666667	651.333333333333	826	1198.33333333333	1080.42109442733
FBXO36	2	22.3333333333333	43	81	91.6666666666667	77.1509881287103
FBXO41	46.6666666666667	190.666666666667	440	535.666666666667	752	817.271866049433
FBXO44	49	163.333333333333	350.333333333333	423	643	785.594532719669
FER	16.3333333333333	115	272	427	441	612.536258243699
FITM2	14.3333333333333	90	274.666666666667	381	481.333333333333	313.757798817666
FKBP10	0	6	21	19	29	21.629631425534
FKBP3	38.6666666666667	205	531	840.333333333333	884.333333333333	669.922849662705
FKTN	22.6666666666667	125.333333333333	333	544.333333333333	608.333333333333	267.0381283216
FLNB	93.3333333333333	3434.66666666667	10300.3333333333	17273.6666666667	16944.3333333333	6594.23771157325
FLYWCH2	9.33333333333333	58.6666666666667	141.333333333333	158.333333333333	216.333333333333	241.74980103484
FOXD2-AS1	2	21.3333333333333	61.6666666666667	92	139.333333333333	85.0926386934429
